"Model","Covariate","Sample_Size","N_False_Covariates","n_sims","true_effect","mean_estimate","bias","rmse_estimate","mean_SE","empirical_SE","power_or_type_I","coverage","mean_RMSE_data","mean_RMSE_latent","effect_type","performance_metric"
"VAST_GMRF","false_3",50,5,50,0,-0.046184221384927,-0.046184221384927,0.295057602335304,0.238123924807001,0.294379330447678,0.14,0.86,0.267132882625675,0.206110028537491,"No Effect","Type I Error"
"VAST_GMRF","false_3",100,3,50,0,0.0169064703022934,0.0169064703022934,0.207071130529803,0.183313846454745,0.208475086263711,0.04,0.96,0.282338953827523,0.205506649518805,"No Effect","Type I Error"
"VAST_GMRF","false_3",100,5,50,0,0.00868670854515477,0.00868670854515477,0.230356007527503,0.187302361652115,0.23252919785648,0.16,0.84,0.277742898942309,0.205427546501677,"No Effect","Type I Error"
"VAST_GMRF","false_3",200,3,50,0,0.0405893952815103,0.0405893952815103,0.157337432682756,0.149501980516319,0.153555044687106,0.1,0.9,0.285729541424451,0.213470161534189,"No Effect","Type I Error"
"VAST_GMRF","false_3",200,5,50,0,0.0107388809315648,0.0107388809315648,0.170133527096898,0.160849293158359,0.171518111969079,0.06,0.94,0.278315818326817,0.194670850929556,"No Effect","Type I Error"
"VAST_GMRF","false_4",50,5,50,0,-0.0061297604465616,-0.0061297604465616,0.296876158723377,0.236598086008632,0.29982627564399,0.14,0.86,0.267132882625675,0.206110028537491,"No Effect","Type I Error"
"VAST_GMRF","false_4",100,5,50,0,0.0507276663841926,0.0507276663841926,0.173331725268047,0.189397873774777,0.167425252428133,0.04,0.96,0.277742898942309,0.205427546501677,"No Effect","Type I Error"
"VAST_GMRF","false_4",200,5,50,0,0.0128155552178834,0.0128155552178834,0.159967849885385,0.161277885546866,0.161072535762461,0.06,0.94,0.278315818326817,0.194670850929556,"No Effect","Type I Error"
"VAST_GMRF","false_5",50,5,50,0,-0.0797486112761029,-0.0797486112761029,0.272113231261238,0.246421224337804,0.262806224934362,0.08,0.92,0.267132882625675,0.206110028537491,"No Effect","Type I Error"
"VAST_GMRF","false_5",100,5,50,0,0.0447126732987758,0.0447126732987758,0.212476329453951,0.190369329485457,0.209827352316867,0.12,0.88,0.277742898942309,0.205427546501677,"No Effect","Type I Error"
"VAST_GMRF","false_5",200,5,50,0,0.00424120452578653,0.00424120452578653,0.199660152591208,0.16353669769011,0.201641702635516,0.1,0.9,0.278315818326817,0.194670850929556,"No Effect","Type I Error"
"VAST_GMRF","real",50,1,50,1,1.01986166556992,0.0198616655699223,0.290761936664903,0.237869696522424,0.293027856260817,0.979591836734694,0.938775510204082,0.287556166670143,0.222373531930374,"Real Effect","Power"
"VAST_GMRF","real",50,3,50,1,1.12639416681396,0.126394166813958,0.291359123444588,0.250057440454564,0.265181211453533,0.98,0.92,0.286705560075381,0.217999547614187,"Real Effect","Power"
"VAST_GMRF","real",50,5,50,1,0.985619747691975,-0.0143802523080248,0.251755979979448,0.249462907468302,0.253896736599925,0.94,0.94,0.267132882625675,0.206110028537491,"Real Effect","Power"
